NACE_1_1_CODE,en_Description,NACE_2007_CODE,NACE_2007_DESCRPTION,Comments
15.92,Production of ethyl alcohol from fermented materials,20.14,Manufacture of other organic basic chemicals,"- Production of ethyl alcohol from fermented materials
- Manufacture of denatured ethyl alcohol"
15.93,Manufacture of wines,11.02,Manufacture of wine from grape,All
15.94,Manufacture of cider and other fruit wines,11.03,Manufacture of cider and other fruit wines,=
15.95,Manufacture of other non-distilled fermented beverages,11.04,Manufacture of other non-distilled fermented beverages,=
15.96,Manufacture of beer,11.05,Manufacture of beer,=
15.97,Manufacture of malt,11.06,Manufacture of malt,=
15.98,Production of mineral waters and soft drinks,11.07,Manufacture of soft drinks; production of mineral waters and other bottled waters,=
16,Manufacture of tobacco products,12,Manufacture of tobacco products,=
17.11,Preparation and spinning of cotton-type fibres,13.1,Preparation and spinning of textile fibres,"Aggregation of NACE Rev. 1.1 classes 17.11, 17.12, 17.13, 17.14, 17.15, 17.16 and 17.17"
17.12,Preparation and spinning of woollen-type fibres,13.1,Preparation and spinning of textile fibres,"Aggregation of NACE Rev. 1.1 classes 17.11, 17.12, 17.13, 17.14, 17.15, 17.16 and 17.17"
17.13,Preparation and spinning of worsted-type fibres,13.1,Preparation and spinning of textile fibres,"Aggregation of NACE Rev. 1.1 classes 17.11, 17.12, 17.13, 17.14, 17.15, 17.16 and 17.17"
17.14,Preparation and spinning of flax-type fibres,13.1,Preparation and spinning of textile fibres,"Aggregation of NACE Rev. 1.1 classes 17.11, 17.12, 17.13, 17.14, 17.15, 17.16 and 17.17"
17.15,"Throwing and preparation of silk, including from noils, and throwing and texturing of synthetic or artificial filament yarns",13.1,Preparation and spinning of textile fibres,"Aggregation of NACE Rev. 1.1 classes 17.11, 17.12, 17.13, 17.14, 17.15, 17.16 and 17.17"
17.16,Manufacture of sewing threads,13.1,Preparation and spinning of textile fibres,"Aggregation of NACE Rev. 1.1 classes 17.11, 17.12, 17.13, 17.14, 17.15, 17.16 and 17.17"
17.17,Preparation and spinning of other textile fibres,13.1,Preparation and spinning of textile fibres,"Aggregation of NACE Rev. 1.1 classes 17.11, 17.12, 17.13, 17.14, 17.15, 17.16 and 17.17"
17.21,Cotton-type weaving,13.2,Weaving of textiles,All
17.22,Woollen-type weaving,13.2,Weaving of textiles,All
17.23,Worsted-type weaving,13.2,Weaving of textiles,All
17.24,Silk-type weaving,13.2,Weaving of textiles,All
17.25,Other textile weaving,13.2,Weaving of textiles,All
17.3,Finishing of textiles,13.3,Finishing of textiles,All
17.4,"Manufacture of made-up textile articles, except apparel",13.92,"Manufacture of made-up textile articles, except apparel","Except:
- surgical drapes
- repair of tarpaulins
- repair of fertilizer and chemical storage bags
- repair of tents"
17.4,"Manufacture of made-up textile articles, except apparel",32.5,Manufacture of medical and dental instruments and supplies,Surgical drapes
17.4,"Manufacture of made-up textile articles, except apparel",33.19,Repair of other equipment,"- Repair or tarpaulins
- Repair of fertilizer and chemical storage bags"
17.4,"Manufacture of made-up textile articles, except apparel",95.29,Repair of other personal and household goods,Repair of tents
17.51,Manufacture of carpets and rugs,13.93,Manufacture of carpets and rugs,=
17.52,"Manufacture of cordage, rope, twine and netting",13.94,"Manufacture of cordage, rope, twine and netting",Except repair of fishing nets (including mending)
