"Code","Ebene","Titel","Parent"
"16.10.0",5,"Säge-, Hobel- und Holzimprägnierwerke","16.10"
"16.2",3,"Herstellung von sonstigen Holz-, Kork-, Flecht- und Korbwaren (ohne Möbel)",16
"16.21",4,"Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten","16.2"
"16.21.0",5,"Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten","16.21"
"16.22",4,"Herstellung von Parketttafeln","16.2"
"16.22.0",5,"Herstellung von Parketttafeln","16.22"
"16.23",4,"Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz","16.2"
"16.23.0",5,"Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz","16.23"
"16.24",4,"Herstellung von Verpackungsmitteln, Lagerbehältern und Ladungsträgern aus Holz","16.2"
"16.24.0",5,"Herstellung von Verpackungsmitteln, Lagerbehältern und Ladungsträgern aus Holz","16.24"
"16.29",4,"Herstellung von Holzwaren a.n.g., Kork-, Flecht- und Korbwaren (ohne Möbel)","16.2"
"16.29.0",5,"Herstellung von Holzwaren a. n. g., Kork-, Flecht- und Korbwaren (ohne Möbel)","16.29"
17,2,"Herstellung von Papier, Pappe und Waren daraus","C"
"17.1",3,"Herstellung von Holz- und Zellstoff, Papier, Karton und Pappe",17
"17.11",4,"Herstellung von Holz- und Zellstoff","17.1"
"17.11.0",5,"Herstellung von Holz- und Zellstoff","17.11"
"17.12",4,"Herstellung von Papier, Karton und Pappe","17.1"
"17.12.0",5,"Herstellung von Papier, Karton und Pappe","17.12"
"17.2",3,"Herstellung von Waren aus Papier, Karton und Pappe",17
"17.21",4,"Herstellung von Wellpapier und -pappe sowie von Verpackungsmitteln aus Papier, Karton und Pappe","17.2"
"17.21.0",5,"Herstellung von Wellpapier und -pappe sowie von Verpackungsmitteln aus Papier, Karton und Pappe","17.21"
"17.22",4,"Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe","17.2"
"17.22.0",5,"Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe","17.22"
"17.23",4,"Herstellung von Schreibwaren und Bürobedarf aus Papier, Karton und Pappe","17.2"
"17.23.0",5,"Herstellung von Schreibwaren und Bürobedarf aus Papier, Karton und Pappe","17.23"
"17.24",4,"Herstellung von Tapeten","17.2"
"17.24.0",5,"Herstellung von Tapeten","17.24"
"17.29",4,"Herstellung von sonstigen Waren aus Papier, Karton und Pappe","17.2"
"17.29.0",5,"Herstellung von sonstigen Waren aus Papier, Karton und Pappe","17.29"
18,2,"Herstellung von Druckerzeugnissen; Vervielfältigung von bespielten Ton-, Bild- und Datenträgern","C"
"18.1",3,"Herstellung von Druckerzeugnissen",18
"18.11",4,"Drucken von Zeitungen","18.1"
"18.11.0",5,"Drucken von Zeitungen","18.11"
"18.12",4,"Drucken a. n. g.","18.1"
"18.12.0",5,"Drucken a. n. g.","18.12"
"18.13",4,"Druck- und Medienvorstufe","18.1"
"18.13.0",5,"Druck- und Medienvorstufe","18.13"
"18.14",4,"Binden von Druckerzeugnissen und damit verbundene Dienstleistungen","18.1"
"18.14.0",5,"Binden von Druckerzeugnissen und damit verbundene Dienstleistungen","18.14"
"18.2",3,"Vervielfältigung von bespielten Ton-, Bild- und Datenträgern",18
"18.20",4,"Vervielfältigung von bespielten Ton-, Bild- und Datenträgern","18.2"
"18.20.0",5,"Vervielfältigung von bespielten Ton-, Bild- und Datenträgern","18.20"
19,2,"Kokerei und Mineralölverarbeitung","C"
"19.1",3,"Kokerei",19
"19.10",4,"Kokerei","19.1"
"19.10.0",5,"Kokerei","19.10"
"19.2",3,"Mineralölverarbeitung",19
"19.20",4,"Mineralölverarbeitung","19.2"
"19.20.0",5,"Mineralölverarbeitung","19.20"
20,2,"Herstellung von chemischen Erzeugnissen","C"
"20.1",3,"Herstellung von chemischen Grundstoffen, Düngemitteln und Stickstoffverbindungen, Kunststoffen in Primärformen und synthetischem Kautschuk in Primärformen",20
"20.11",4,"Herstellung von Industriegasen","20.1"
"20.11.0",5,"Herstellung von Industriegasen","20.11"
"20.12",4,"Herstellung von Farbstoffen und Pigmenten","20.1"
"20.12.0",5,"Herstellung von Farbstoffen und Pigmenten","20.12"
"20.13",4,"Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien","20.1"
"20.13.0",5,"Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien","20.13"
"20.14",4,"Herstellung von sonstigen organischen Grundstoffen und Chemikalien","20.1"
"20.14.0",5,"Herstellung von sonstigen organischen Grundstoffen und Chemikalien","20.14"
"20.15",4,"Herstellung von Düngemitteln und Stickstoffverbindungen","20.1"
"20.15.0",5,"Herstellung von Düngemitteln und Stickstoffverbindungen","20.15"
"20.16",4,"Herstellung von Kunststoffen in Primärformen","20.1"
"20.16.0",5,"Herstellung von Kunststoffen in Primärformen","20.16"
"20.17",4,"Herstellung von synthetischem Kautschuk in Primärformen","20.1"
"20.17.0",5,"Herstellung von synthetischem Kautschuk in Primärformen","20.17"
"20.2",3,"Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln",20
"20.20",4,"Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln","20.2"
"20.20.0",5,"Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln","20.20"
"20.3",3,"Herstellung von Anstrichmitteln, Druckfarben und Kitten",20
"20.30",4,"Herstellung von Anstrichmitteln, Druckfarben und Kitten","20.3"
"20.30.0",5,"Herstellung von Anstrichmitteln, Druckfarben und Kitten","20.30"
"20.4",3,"Herstellung von Seifen, Wasch-, Reinigungs- und Körperpflegemitteln sowie von Duftstoffen",20
"20.41",4,"Herstellung von Seifen, Wasch-, Reinigungs- und Poliermitteln","20.4"
"20.41.0",5,"Herstellung von Seifen, Wasch-, Reinigungs- und Poliermitteln","20.41"
"20.42",4,"Herstellung von Körperpflegemitteln und Duftstoffen","20.4"
"20.42.0",5,"Herstellung von Körperpflegemitteln und Duftstoffen","20.42"
"20.5",3,"Herstellung von sonstigen chemischen Erzeugnissen",20
"20.51",4,"Herstellung von pyrotechnischen Erzeugnissen","20.5"
"20.51.0",5,"Herstellung von pyrotechnischen Erzeugnissen","20.51"
"20.52",4,"Herstellung von Klebstoffen","20.5"
"20.52.0",5,"Herstellung von Klebstoffen","20.52"
"20.53",4,"Herstellung von etherischen Ölen","20.5"
"20.53.0",5,"Herstellung von etherischen Ölen","20.53"
"20.59",4,"Herstellung von sonstigen chemischen Erzeugnissen a. n. g.","20.5"
"20.59.0",5,"Herstellung von sonstigen chemischen Erzeugnissen a. n. g.","20.59"
"20.6",3,"Herstellung von Chemiefasern",20
"20.60",4,"Herstellung von Chemiefasern","20.6"
"20.60.0",5,"Herstellung von Chemiefasern","20.60"
21,2,"Herstellung von pharmazeutischen Erzeugnissen","C"
"21.1",3,"Herstellung von pharmazeutischen Grundstoffen",21
"21.10",4,"Herstellung von pharmazeutischen Grundstoffen","21.1"
"21.10.0",5,"Herstellung von pharmazeutischen Grundstoffen","21.10"
"21.2",3,"Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen",21
"21.20",4,"Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen","21.2"
"21.20.0",5,"Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen","21.20"
22,2,"Herstellung von Gummi- und Kunststoffwaren","C"
"22.1",3,"Herstellung von Gummiwaren",22
"22.11",4,"Herstellung und Runderneuerung von Bereifungen","22.1"
"22.11.0",5,"Herstellung und Runderneuerung von Bereifungen","22.11"
"22.19",4,"Herstellung von sonstigen Gummiwaren","22.1"
"22.19.0",5,"Herstellung von sonstigen Gummiwaren","22.19"
"22.2",3,"Herstellung von Kunststoffwaren",22
"22.21",4,"Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen","22.2"
"22.21.0",5,"Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen","22.21"
"22.22",4,"Herstellung von Verpackungsmitteln aus Kunststoffen","22.2"
"22.22.0",5,"Herstellung von Verpackungsmitteln aus Kunststoffen","22.22"
"22.23",4,"Herstellung von Baubedarfsartikeln aus Kunststoffen","22.2"
"22.23.0",5,"Herstellung von Baubedarfsartikeln aus Kunststoffen","22.23"
