"code","broader","label_en","label_fr","label_es","label_ru","alternative","definition","note","uri"
"2219","221","Manufacture of other rubber products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2219"
"222","22","Manufacture of plastics products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/222"
"2220","222","Manufacture of plastics products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2220"
"23","C","Manufacture of other non-metallic mineral products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/23"
"231","23","Manufacture of glass and glass products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/231"
"2310","231","Manufacture of glass and glass products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2310"
"239","23","Manufacture of non-metallic mineral products n.e.c.","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/239"
"2391","239","Manufacture of refractory products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2391"
"2392","239","Manufacture of clay building materials","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2392"
"2393","239","Manufacture of other porcelain and ceramic products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2393"
"2394","239","Manufacture of cement, lime and plaster","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2394"
"2395","239","Manufacture of articles of concrete, cement and plaster","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2395"
"2396","239","Cutting, shaping and finishing of stone","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2396"
"2399","239","Manufacture of other non-metallic mineral products n.e.c.","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2399"
"24","C","Manufacture of basic metals","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/24"
"241","24","Manufacture of basic iron and steel","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/241"
"2410","241","Manufacture of basic iron and steel","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2410"
"242","24","Manufacture of basic precious and other non-ferrous metals","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/242"
"2420","242","Manufacture of basic precious and other non-ferrous metals","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2420"
"243","24","Casting of metals","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/243"
"2431","243","Casting of iron and steel","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2431"
"2432","243","Casting of non-ferrous metals","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2432"
"25","C","Manufacture of fabricated metal products, except machinery and equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/25"
"251","25","Manufacture of structural metal products, tanks, reservoirs and steam generators","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/251"
"2511","251","Manufacture of structural metal products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2511"
"2512","251","Manufacture of tanks, reservoirs and containers of metal","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2512"
"2513","251","Manufacture of steam generators, except central heating hot water boilers","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2513"
"252","25","Manufacture of weapons and ammunition","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/252"
"2520","252","Manufacture of weapons and ammunition","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2520"
"259","25","Manufacture of other fabricated metal products; metalworking service activities","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/259"
"2591","259","Forging, pressing, stamping and roll-forming of metal; powder metallurgy","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2591"
"2592","259","Treatment and coating of metals; machining","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2592"
"2593","259","Manufacture of cutlery, hand tools and general hardware","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2593"
"2599","259","Manufacture of other fabricated metal products n.e.c.","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2599"
